,中文名,英文名,上映日,ID,海報Url
43,公共圖書館員,ThePublic,2022-05-20,12927,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/5cIkY6IgMuqD9IBnarfw-1080x1542.jpg
44,孵魔,Hatching,2022-05-20,13122,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/HQKKu7nWBBQHzR8VK1yu-800x1139.jpg
45,秋天的童話,AnAutumn'sTale,2022-05-20,13159,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/v7T6nuXmoAysjJkb7bKg-1080x1543.jpg
46,淒厲人僧：卡到陰,PeeNak3,2022-05-20,13160,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/VaBSRvPkaMbuAV9OXSq7-800x1143.jpg
47,最後的生存者,LastSurvivors,2022-05-20,13161,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/4eIl3xqTVA77PX7QhTxh-1080x1539.jpg
48,愛在暹邏：數位經典版,Loveofsiam,2022-05-20,13167,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/XTbJRb2lb8JS0ABpE7AQ-1080x1543.jpg
49,鬼雙胞,TheTwin,2022-05-20,13198,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/April2022/x60F1wXx1inSoqDbR2Jm-800x1143.jpg
50,阿巴斯。風的滋味,,2022-05-20,13215,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/urZh5pfpR6r2nbmTdfgl-1080x1538.jpg
51,月影歸途,TheSongofTheMoon,2022-05-20,13286,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/A6kL73OHfGKRYXWE0qbR-1080x1512.jpg
52,逃出封鎖線,ThePilot,2022-05-20,13310,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/4zYsz8CpfXysWI1GtloU-1080x1542.jpg
53,第一人夫,FirstGentleman,2022-05-20,13311,https://movies.yahoo.com.tw/x/r/w420/i/o/production/movies/May2022/1hNkihXT97AgRAmZ1IwV-1080x1542.jpg
